day,cluster_id,seq,Durak No,Longitude,Latitude,Paket Adedi
Mon,0,0,DEPOT,29.348245,40.920153,
Mon,0,1,6,29.3395406,40.9130367,1.0
Mon,0,2,5,29.3516214,40.8935264,1.0
Mon,0,3,39,29.3516885,40.8826048,1.0
Mon,0,4,38,29.3627882,40.8878278,4.0
Mon,0,5,36,29.3659264,40.8807495,1.0
Mon,0,6,7,29.3962782,40.8791342,1.0
Mon,0,7,1,29.4109207,40.8836476,1.0
Mon,0,8,2,29.3928473,40.9042313,28.0
Mon,0,9,37,29.3816874,40.912238,1.0
Mon,0,10,4,29.351323,40.9335016,1.0
Mon,0,11,46,29.3024885,40.9430008,1.0
Mon,0,12,27,29.3068504,40.8918565,26.0
Mon,0,13,59,29.3194957,40.8734018,1.0
Mon,0,14,3,29.3390131,40.8731631,1.0
Mon,0,15,54,29.3149952,40.833817,1.0
Mon,0,16,53,29.3221442,40.8221556,1.0
Mon,0,17,25,29.4667961,40.7970844,81.0
Mon,0,18,DEPOT,29.348245,40.920153,
Mon,1,0,DEPOT,29.348245,40.920153,
Mon,1,1,76,29.1492056,40.9903041,1.0
Mon,1,2,31,29.1372197,40.9855732,1.0
Mon,1,3,28,29.1328092,40.9874134,1.0
Mon,1,4,22,29.1278315,40.9886112,4.0
Mon,1,5,75,29.1328707,40.9821933,3.0
Mon,1,6,30,29.1023763,40.9822084,1.0
Mon,1,7,94,29.0942704,41.0114273,1.0
Mon,1,8,95,29.1024589,41.0157826,1.0
Mon,1,9,97,29.1112409,41.0231945,1.0
Mon,1,10,89,29.1134342,41.0249367,1.0
Mon,1,11,72,29.127652,41.0262259,2.0
Mon,1,12,70,29.127595,41.0262358,4.0
Mon,1,13,73,29.1276567,41.026238,1.0
Mon,1,14,71,29.1276128,41.0262484,1.0
Mon,1,15,100,29.1243179,41.023386,9.0
Mon,1,16,29,29.1239803,41.0242493,1.0
Mon,1,17,52,29.1353194,41.0165827,1.0
Mon,1,18,74,29.132955,41.0039431,1.0
Mon,1,19,51,29.1249448,40.9996829,1.0
Mon,1,20,88,29.1139783,41.0052899,2.0
Mon,1,21,91,29.1132846,41.0063253,3.0
Mon,1,22,26,29.1138534,41.0322448,1.0
Mon,1,23,90,29.1013488,41.0282177,1.0
Mon,1,24,12,29.0878953,41.024758,1.0
Mon,1,25,64,29.0870261,41.0248098,9.0
Mon,1,26,96,29.0841786,41.0220749,1.0
Mon,1,27,40,29.0895034,41.0251082,1.0
Mon,1,28,41,29.0895009,41.0250456,1.0
Mon,1,29,35,29.1125939,40.9552488,1.0
